hf_model_id,source_repo_url,dependency_artifact,dependency_artifact_url,snapshot_timestamp_utc,hf_downloads_at_snapshot,hf_likes_at_snapshot,selection_rationale,curation_notes
google-bert/bert-base-uncased,https://github.com/google-research/bert,requirements.txt (root),https://github.com/google-research/bert/blob/master/requirements.txt,2026-03-20T18:33:20Z,72509778,2.59k,Widely used canonical BERT checkpoint with a clear HF→official-repo link and a root Python manifest suitable for scanning.,Encoder-only NLP anchor; kept one representative from the BERT family to avoid duplicate size variants.
openai-community/gpt2,https://github.com/openai/gpt-2,requirements.txt (root),https://github.com/openai/gpt-2/blob/master/requirements.txt,2026-03-20T18:33:20Z,11542816,3.13k,Widely used decoder-only LM with a clear HF→official-repo path and a root requirements file for reproducible dependency capture.,Decoder-only NLP anchor; selected as the GPT-2 family representative.
openai/clip-vit-base-patch32,https://github.com/openai/CLIP,requirements.txt (root),https://github.com/openai/CLIP/blob/main/requirements.txt,2026-03-20T18:33:20Z,20060427,885,High-usage vision-language model with explicit provenance to the official CLIP repo and a root Python dependency manifest.,Vision-language embedding anchor; kept one CLIP variant rather than several near-duplicates.
google/vit-base-patch16-224,https://github.com/google-research/vision_transformer,requirements.txt (vit_jax/),https://github.com/google-research/vision_transformer/blob/main/vit_jax/requirements.txt,2026-03-20T18:33:20Z,4142872,943,Popular supervised vision transformer with an official source repo and a clearly model-tied repo-scoped requirements file.,Canonical supervised ViT baseline; distinct from DeiT and self-supervised DINOv2.
stabilityai/stable-diffusion-xl-base-1.0,https://github.com/Stability-AI/generative-models,pyproject.toml (root),https://github.com/Stability-AI/generative-models/blob/main/pyproject.toml,2026-03-20T18:33:20Z,2236412,7.54k,High-impact diffusion model with explicit official-repo provenance and a root pyproject suitable for Python dependency analysis.,Text-to-image diffusion representative; chosen instead of multiple Stable Diffusion family variants.
facebook/dinov2-base,https://github.com/facebookresearch/dinov2,requirements.txt (root),https://github.com/facebookresearch/dinov2/blob/main/requirements.txt,2026-03-20T18:33:20Z,1196432,170,Popular self-supervised vision backbone with a direct HF→official-repo link and a root requirements file.,Self-supervised vision representative; complements supervised ViT/DeiT rather than duplicating them.
deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,requirements.txt (inference/),https://github.com/deepseek-ai/DeepSeek-V3/blob/main/inference/requirements.txt,2026-03-20T18:33:20Z,970208,4.01k,High-use modern open LLM with explicit HF install instructions pointing to a repo-scoped dependency file for local inference.,Modern frontier LLM anchor; useful because the dependency artifact is tied to the inference path users are told to run.
facebook/detr-resnet-50,https://github.com/facebookresearch/detr,requirements.txt (root),https://github.com/facebookresearch/detr/blob/main/requirements.txt,2026-03-20T18:33:20Z,231053,942,Widely used object-detection transformer with clear upstream provenance and a root manifest that is straightforward to scan.,Object-detection transformer anchor; adds task diversity beyond classification and generation.
deepseek-ai/deepseek-coder-6.7b-instruct,https://github.com/deepseek-ai/deepseek-coder,requirements.txt (root),https://github.com/deepseek-ai/deepseek-coder/blob/main/requirements.txt,2026-03-20T18:33:20Z,121604,484,Popular code-specialized LLM with a direct model-card repo link and a root requirements file for dependency analysis.,Code-generation representative; distinct from general chat LLMs.
facebook/musicgen-small,https://github.com/facebookresearch/audiocraft,requirements.txt (root),https://github.com/facebookresearch/audiocraft/blob/main/requirements.txt,2026-03-20T18:33:20Z,118675,480,Popular text-to-music model with official linkage to the AudioCraft repo and a root Python manifest.,Text-to-music representative; expands coverage into audio generation.
facebook/deit-base-patch16-224,https://github.com/facebookresearch/deit,requirements.txt (root),https://github.com/facebookresearch/deit/blob/main/requirements.txt,2026-03-20T18:33:20Z,85173,15,Well-used DeiT checkpoint with a direct HF→official-repo link and a root requirements file for clean provenance.,Data-efficient vision transformer representative; intentionally kept separate from plain ViT because the training recipe differs.
deepseek-ai/Janus-Pro-7B,https://github.com/deepseek-ai/Janus,pyproject.toml (root),https://github.com/deepseek-ai/Janus/blob/main/pyproject.toml,2026-03-20T18:33:20Z,57501,3.55k,Fast-rising multimodal model with explicit official-repo provenance and a root pyproject for strict Python dependency parsing.,Unified multimodal understanding/generation representative; selected for modality breadth and clean repo provenance.
suno/bark-small,https://github.com/suno-ai/bark,pyproject.toml (root),https://github.com/suno-ai/bark/blob/main/pyproject.toml,2026-03-20T18:33:20Z,51193,255,Popular text-to-speech/audio model with an explicit original-repo link and a root pyproject suitable for scanning.,Text-to-speech/audio representative; complements MusicGen without duplicating its task profile.
